counterbalancing_group,n_victims,n_saved,n_total,ratio_saved_victims,experiments
1,300,400,700,1.333333333,7 (vivid victims)
1,20,40,600,2,7 (vivid victims)
1,10,30,40,3,7 (vivid victims)
1,20,80,250,4,7 (vivid victims)
1,40,400,440,10,7 (vivid victims)
1,50,750,320,15,7 (vivid victims)
1,30,600,630,20,7 (vivid victims)
1,100,5000,5100,50,7 (vivid victims)
1,40,4000,4040,100,7 (vivid victims)
1,10,4000,4010,400,7 (vivid victims)
1,200,120000,12020,600,7 (vivid victims)
1,30,24000,24030,800,7 (vivid victims)
