n_victims,n_saved,n_total,experiments
2,4,6,"1, 2"
3,4,7,1
2,3,5,2
20,40,60,"1, 2"
30,40,70,1
20,30,50,2
200,400,600,"1, 2"
300,400,700,1
200,300,500,2
1,40,41,3
2,40,42,3
10,40,50,3
